lat,lon
36,140
35,137
36,137
36,129
35,137
36,137
36,140
35,139
35,137
35,137
35,137
36,139
35,139
35,137
35,137
35,137
35,137
35,137
35,137
36,129
35,137
35,137
35,137
35,137
35,137
36,140
35,137
35,137
35,139
36,139
35,137
36,140
36,137
35,137
35,137
35,137
36,129
35,137
35,137
35,137
36,139
35,137
36,140
35,137
35,137
35,137
35,137
35,137
35,137
36,129
35,137
35,137
35,137
35,137
35,137
36,140
36,139
35,137
36,140
35,137
36,140
36,140
36,140
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
36,129
35,137
35,137
36,137
36,140
35,139
35,137
35,137
36,139
35,137
36,139
35,137
35,137
35,137
36,139
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
36,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
34,133
35,140
35,137
35,137
35,137
35,137
35,137
35,137
35,137
36,139
36,140
35,137
35,137
35,137
35,134
35,137
35,137
35,137
36,137
36,140
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
36,139
35,137
35,137
35,139
36,139
35,137
35,135
32,120
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
34,135
35,137
36,139
35,136
36,140
35,137
35,137
35,137
35,137
35,139
36,140
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
36,138
36,138
35,137
35,137
36,140
35,137
35,137
35,137
36,140
36,139
35,137
35,139
36,140
35,137
35,140
32,120
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,139
35,137
35,137
35,137
35,139
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
36,140
37,137
40,116
36,140
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
34,133
35,137
35,137
35,137
35,137
35,137
35,137
35,138
35,137
-5,-45
36,140
35,137
38,127
36,140
35,137
36,140
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,136
35,137
35,137
35,137
35,134
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,139
35,139
26,108
35,137
36,139
36,139
35,137
36,140
35,134
35,137
36,140
36,140
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
40,116
42,128
36,140
35,137
28,117
35,135
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
36,140
35,137
38,139
35,134
35,137
36,140
36,140
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
36,140
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,138
35,137
43,141
40,116
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
36,140
35,137
26,108
35,137
36,140
36,140
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
32,120
35,137
36,139
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,133
35,137
35,137
35,137
35,137
35,137
36,140
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,134
35,134
43,141
35,137
35,137
35,137
36,140
38,127
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
40,116
36,140
35,138
35,138
35,137
35,137
35,137
35,137
35,134
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,134
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
38,127
43,141
33,113
35,137
35,137
35,137
35,137
38,127
36,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
43,141
30,119
35,137
35,137
38,127
35,137
35,134
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
36,140
38,127
36,137
35,137
36,139
28,117
35,137
35,134
35,137
36,140
35,134
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
36,138
35,137
35,137
31,108
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
49,-1
50,33
-5,38
35,137
35,137
35,137
35,137
35,137
35,137
35,137
31,108
35,137
35,137
35,137
28,117
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
43,141
35,137
35,137
35,137
36,140
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
31,108
31,108
35,137
35,137
35,137
35,137
36,140
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,138
36,140
35,137
35,137
35,137
35,137
35,137
36,140
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
36,140
36,140
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
31,108
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,139
36,140
35,137
35,137
35,137
35,137
35,137
35,137
36,140
35,137
35,137
35,137
35,137
36,140
36,140
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
36,140
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
28,117
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,139
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
31,108
31,108
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,139
36,140
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
36,140
35,137
35,137
35,137
35,137
35,137
35,137
35,137
23,113
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
31,108
31,108
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
36,139
36,140
36,140
35,137
35,137
35,137
35,137
35,137
35,135
35,137
35,137
35,137
36,140
28,117
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,139
31,108
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,139
35,137
35,137
35,137
35,137
35,137
35,137
35,136
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
31,108
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
36,140
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,139
36,140
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
28,117
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
36,140
35,137
28,117
35,137
28,117
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
36,140
36,140
35,137
35,137
35,137
35,137
35,137
35,138
36,139
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,139
23,108
35,137
35,137
35,137
35,137
35,137
35,137
36,140
35,137
35,137
35,137
35,137
35,134
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
26,108
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
28,117
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
36,140
35,137
23,108
35,137
35,137
35,137
40,118
35,137
35,137
36,140
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
36,140
36,140
35,137
35,137
35,137
35,137
49,-1
45,5
50,33
-5,38
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
41,40
35,137
35,137
35,137
35,137
35,137
35,137
35,137
31,108
35,137
35,137
35,137
35,137
31,108
35,137
35,137
35,137
31,108
35,137
35,139
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
28,117
36,140
35,137
35,137
36,139
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
36,139
36,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
35,137
36,140
36,140
35,137
35,137
36,140
36,137
